iter	RMSE
0	1.38084563
1	1.30105852
2	1.224106443
3	1.157629661
4	1.097882285
5	1.047639818
6	1.004524977
7	0.9640272074
8	0.9262070839
9	0.8958014161
10	0.8724699081
11	0.8495453899
12	0.831243567
13	0.8158344981
14	0.8009203825
15	0.7852965197
16	0.7724657794
17	0.7594237166
18	0.7495386479
19	0.7399946474
20	0.7310104573
21	0.7234898812
22	0.716923082
23	0.7123569894
24	0.7078998523
25	0.7038296959
26	0.6989877066
27	0.6949341094
28	0.6927146419
29	0.6900551941
30	0.6861361882
31	0.6841407209
32	0.6823419192
33	0.6803149151
34	0.6782291393
35	0.6762780436
36	0.6739232426
37	0.6718051383
38	0.6700612397
39	0.6684295856
40	0.6670930094
41	0.6658926232
42	0.6642603303
43	0.6630838608
44	0.6611041907
45	0.6597520668
46	0.6590097183
47	0.6583001712
48	0.6577901894
49	0.6570294477
50	0.6561262341
51	0.6548683108
52	0.6536975356
53	0.6523541275
54	0.6516857954
55	0.6509409418
56	0.6503751264
57	0.6492791096
58	0.6478690137
59	0.6473602837
60	0.6468883928
61	0.6460103223
62	0.6453694892
63	0.6442886056
64	0.6437967014
65	0.6426185365
66	0.641952372
67	0.641461101
68	0.6411059446
69	0.6404334375
70	0.6400027057
71	0.6392296744
72	0.6387828898
73	0.6381875241
74	0.6374155097
75	0.6363958919
76	0.635584711
77	0.6345429386
78	0.633886607
79	0.6330453518
80	0.6327577156
81	0.6324238008
82	0.6318031841
83	0.6306155979
84	0.6300941032
85	0.6297034906
86	0.6293415925
87	0.628855684
88	0.6284537415
89	0.6276755579
90	0.62730249
91	0.6267639902
92	0.6262021786
93	0.6253857809
94	0.6249942819
95	0.6243668938
96	0.6235890527
97	0.6231828145
98	0.6224040321
99	0.6221046633
100	0.6217123787
101	0.6209122701
102	0.6206529538
103	0.6196288085
104	0.619208537
105	0.6190799636
106	0.618402671
107	0.6179573343
108	0.6173362624
109	0.6170399096
110	0.616954901
111	0.6165532859
112	0.6156124927
113	0.615374532
114	0.614886151
115	0.6143578854
116	0.6136794207
117	0.6132597621
118	0.6131801718
119	0.612725374
120	0.6122159875
121	0.6119176217
122	0.6114514933
123	0.6107568322
124	0.6104976078
125	0.6097205312
126	0.6096552987
127	0.6093281477
128	0.6092510347
129	0.6088564711
130	0.6087915712
131	0.6087282474
132	0.6081131723
133	0.6075670463
134	0.6072941562
135	0.6072272351
136	0.6069278114
137	0.6065710793
138	0.6061879148
139	0.6061140269
140	0.6053228763
141	0.6048479176
142	0.6043840942
143	0.6038242566
144	0.6035350129
145	0.6029873043
146	0.6024846945
147	0.6018484405
148	0.6016197328
149	0.6013547334
