iter	Passed	Remaining
0	1	217
1	2	178
2	3	157
3	4	154
4	5	148
5	5	141
6	6	139
7	7	136
8	8	135
9	9	133
10	10	131
11	11	129
12	12	128
13	13	127
14	14	128
15	15	127
16	16	125
17	16	124
18	17	123
19	18	123
20	20	122
21	21	122
22	22	121
23	22	120
24	23	119
25	24	118
26	26	118
27	27	117
28	28	116
29	29	116
30	30	115
31	31	115
32	32	115
33	33	114
34	34	113
35	35	112
36	36	112
37	37	111
38	39	111
39	40	111
40	41	110
41	42	109
42	43	108
43	44	107
44	45	106
45	46	105
46	47	104
47	48	103
48	49	102
49	50	101
50	51	100
51	52	99
52	53	98
53	55	98
54	56	97
55	57	96
56	58	95
57	59	95
58	61	94
59	62	93
60	63	92
61	64	91
62	65	90
63	66	89
64	68	88
65	69	87
66	70	86
67	71	85
68	72	85
69	73	84
70	74	83
71	75	82
72	76	81
73	77	79
74	78	78
75	79	77
76	81	76
77	82	75
78	82	74
79	83	73
80	84	72
81	85	71
82	86	70
83	87	68
84	88	67
85	89	66
86	91	65
87	92	64
88	93	63
89	94	63
90	95	62
91	96	60
92	98	60
93	99	59
94	100	58
95	101	57
96	102	56
97	104	55
98	105	54
99	106	53
100	107	52
101	109	51
102	110	50
103	111	49
104	112	48
105	113	47
106	114	46
107	115	44
108	116	43
109	117	42
110	119	41
111	120	40
112	121	39
113	122	38
114	123	37
115	124	36
116	125	35
117	126	34
118	127	33
119	128	32
120	130	31
121	131	30
122	132	28
123	132	27
124	134	26
125	135	25
126	136	24
127	136	23
128	137	22
129	139	21
130	140	20
131	141	19
132	142	18
133	143	17
134	144	16
135	145	15
136	146	13
137	148	12
138	149	11
139	149	10
140	151	9
141	152	8
142	153	7
143	154	6
144	155	5
145	156	4
146	157	3
147	158	2
148	159	1
149	160	0
