movie_name,month,year,ratings,user_vote,genres,country
(500) Days of Summer,9.0,2009.0,,,,
10 Cloverfield Lane,3.0,2016.0,7.2,355000,,
"10,000 B.C.",3.0,2008.0,,,,
10000 BC,3.0,2008.0,5.1,136000,,United States South Africa
102 Dalmatians,11.0,2000.0,4.8,40000,,
12 Rounds,3.0,2009.0,5.6,31000,,
12 Strong,1.0,2018.0,6.5,92000,,
12 Years a Slave,10.0,2013.0,8.1,742000,,
127 Hours,11.0,2010.0,7.5,402000,,
13 Going On 30,9.0,2004.0,,,,
13 Going on 30,4.0,2004.0,6.3,217000,,United States
13 Hours: The Secret Soldiers of Benghazi,1.0,2016.0,7.3,161000,,
1408,6.0,2007.0,6.8,295000,,
15 Minutes,3.0,2001.0,6.1,52000,,
16 Blocks,3.0,2006.0,6.6,135000,,
17 Again,4.0,2009.0,6.4,217000,,
1917,1.0,2020.0,,,,
2 Fast 2 Furious,6.0,2003.0,5.9,298000,,
2 For the Money,10.0,2005.0,,,,
2 Guns,8.0,2013.0,6.7,226000,,
20 Feet From Stardom,11.0,2013.0,,,,
2012,11.0,2009.0,5.8,398000,,
2016: Obama’s America,7.0,2012.0,,,,
2046,8.0,2005.0,7.4,62000,,
20th Century Women,12.0,2016.0,7.3,49000,,
21,3.0,2008.0,6.8,267000,,
21 & Over,3.0,2013.0,5.8,77000,,United States
21 Bridges,11.0,2019.0,6.6,75000,Action Adventure Crime Drama Mystery Thriller,
21 Grams,11.0,2003.0,7.6,246000,,
21 Jump Street,3.0,2012.0,7.2,599000,,
21 and Over,3.0,2013.0,,,,
22 Jump Street,6.0,2014.0,7.0,407000,,
25th Hour,12.0,2002.0,7.6,185000,,
27 Dresses,1.0,2008.0,6.1,175000,,
28 Days,4.0,2000.0,6.1,54000,Comedy Drama,
28 Days Later,6.0,2003.0,7.5,447000,,United Kingdom United States
28 Days Later…,9.0,2003.0,,,,
28 Weeks Later,5.0,2007.0,6.9,294000,,
3 Days to Kill,2.0,2014.0,6.2,98000,,
3 Strikes,3.0,2000.0,4.7,37000,Comedy,
30 Days of Night,10.0,2007.0,6.6,190000,,
30 Minutes or Less,8.0,2011.0,6.1,107000,,
300,3.0,2007.0,7.6,865000,,
3000 Miles to Graceland,2.0,2001.0,6.0,49000,,
300: Rise of an Empire,3.0,2014.0,6.2,316000,,
3:10 to Yuma,9.0,2007.0,7.6,331000,,
40 Days and 40 Nights,3.0,2002.0,5.6,76000,,
42,4.0,2013.0,7.5,103000,,
47 Meters Down,6.0,2017.0,5.6,61000,,
47 Meters Down: Uncaged,8.0,2019.0,5.0,31000,,
47 Ronin,12.0,2013.0,6.2,171000,,
50 First Dates,2.0,2004.0,6.8,383000,,
50/50,9.0,2011.0,7.6,343000,,
500 Days of Summer,7.0,2009.0,7.7,559000,,United States
65,3.0,2023.0,5.4,88000,,
8 Mile,11.0,2002.0,7.2,321000,,
8 femmes,9.0,2002.0,,,,
80 for Brady,2.0,2023.0,5.9,12000,,
88 Minutes,4.0,2008.0,5.9,78000,,
9,9.0,2009.0,7.0,148000,,
90 Minutes in Heaven,9.0,2015.0,4.9,43000,,United States
99 Homes,9.0,2015.0,7.1,38000,,United States
A Bad Moms Christmas,11.0,2017.0,5.6,58000,,
A Beautiful Day in the Neighborhood,12.0,2019.0,7.2,89000,Biography Drama,
A Beautiful Mind,12.0,2001.0,8.2,988000,,
A Better Life,6.0,2011.0,7.2,17000,,United States
A Christmas Carol,11.0,2009.0,6.8,130000,,United States United Kingdom
A Cinderella Story,7.0,2004.0,5.9,94000,,
A Cure for Wellness,2.0,2017.0,6.4,110000,,
A Dangerous Method,11.0,2011.0,6.4,108000,,
A Dog's Journey,5.0,2019.0,7.4,29000,,China India Hong Kong United States
A Dog's Purpose,1.0,2017.0,7.2,79000,,United States India
A Dog's Way Home,1.0,2019.0,6.7,20000,,China United States
A Dog’s Journey,5.0,2019.0,,,,
A Dog’s Purpose,1.0,2017.0,,,,
A Dog’s Way Home,1.0,2019.0,,,,
A Ghost Story,7.0,2017.0,6.8,80000,,United States
A Good Day to Die Hard,2.0,2013.0,5.2,215000,,
A Good Year,11.0,2006.0,6.9,101000,,
A Guy Thing,1.0,2003.0,5.6,18000,,United States
A Haunted House,1.0,2013.0,5.0,50000,,
A Haunted House 2,4.0,2014.0,4.7,23000,,
A History of Violence,9.0,2005.0,7.4,253000,,
A Hologram for the King,4.0,2016.0,6.1,48000,,
A Home at the End of the World,7.0,2004.0,6.6,14000,,United States
A Knight's Tale,5.0,2001.0,7.0,202000,,United States
A Knight’s Tale,8.0,2001.0,,,,
A Lot Like Love,4.0,2005.0,6.6,71000,,
A Madea Family Funeral,3.0,2019.0,4.7,51000,,United States
A Man Apart,4.0,2003.0,6.0,49000,,
A Mighty Heart,6.0,2007.0,6.6,28000,,
A Mighty Wind,4.0,2003.0,7.2,30000,,
A Million Ways to Die in The West,5.0,2014.0,,,,
A Million Ways to Die in the West,5.0,2014.0,6.1,199000,,United States
A Monster Calls,12.0,2016.0,7.4,94000,,
