tt_id,rl_id,movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office
tt0227538,rl1903396353,Spy Kids,3,2001,35000000,88,Action Adventure Comedy Family Sci-Fi,PG,3191,26546881,112719001
tt0236493,rl1516406273,The Mexican,3,2001,57000000,123,Adventure Comedy Drama Romance,R,3162,20108829,66845033
tt0164334,rl2101577217,Along Came a Spider,4,2001,60000000,104,Drama Thriller,R,2573,16712407,74078174
tt0242445,rl1733330433,Exit Wounds,3,2001,50000000,101,Action Crime Thriller,R,2830,18485586,51758599
tt0215750,rl4082206209,Enemy at the Gates,3,2001,68000000,131,Action Drama War,R,1724,13810266,51401758
tt0221027,rl893814273,Blow,4,2001,53000000,124,Biography Crime Drama,R,2249,12443461,52990775
tt0190332,rl2739766785,Crouching Tiger Hidden Dragon,12,2000,17000000,120,Action Adventure Drama Fantasy Romance,PG-13,2027,663205,128078872
tt0243155,rl340362753,Bridget Jones's Diary,4,2001,25000000,97,Comedy Drama Romance,R,2547,10733933,71543427
tt0125022,rl4065756673,Heartbreakers,3,2001,35000000,123,Comedy Crime Romance,PG-13,2751,11801323,40336607
tt0181865,rl1115129345,Traffic,12,2000,None,147,Crime Drama Thriller,R,1755,184725,124115725
tt0250720,rl2087618049,See Spot Run,3,2001,35000000,94,Action Comedy Crime Family,PG,2656,9715102,33357476
tt0212985,rl357991937,Hannibal,2,2001,87000000,131,Crime Drama Thriller,R,3292,58003121,165092268
tt0231775,rl1984857601,Down to Earth,2,2001,49000000,87,Comedy Fantasy,PG-13,2521,17268883,64186502
tt0241303,rl3209397761,Chocolat,12,2000,25000000,121,Drama Romance,PG-13,1928,157624,71509363
tt0250274,rl1313441281,The Brothers,3,2001,6000000,106,Comedy Drama Romance,R,1378,10302846,27457409
tt0244970,rl1131447809,Someone Like You,3,2001,23000000,97,Comedy Romance,PG-13,2349,10010600,27343067
tt0179626,rl188843521,15 Minutes,3,2001,60000000,120,Action Crime Drama Thriller,R,2337,10523154,24403552
