tt_id,rl_id,movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office
tt4673790,rl4127360513,Vazante,1,2018,None,116,Adventure Drama,None,6,3489,23884
tt0479506,rl877037057,The Blossoming of Maximo Oliveros,9,2006,None,100,Drama,None,2,6690,28041
tt1135487,rl3696133633,Duplicity,3,2009,60000000,125,Comedy Crime Romance Thriller,PG-13,2579,13965110,40572825
tt1371111,rl256542209,Cloud Atlas,10,2012,None,172,Drama Mystery Sci-Fi Thriller,R,2023,9612247,27108272
tt0945513,rl4033906177,Source Code,4,2011,32000000,93,Action Drama Mystery Sci-Fi Thriller,PG-13,2971,14812094,54712227
tt7218804,rl2399438337,The Gospel According to André,5,2018,None,93,Documentary,PG-13,36,47802,400713
tt0314006,rl3964569089,Dum,1,2003,None,166,Action Crime Drama Thriller,None,18,46700,101000
tt3183660,rl3696264705,Fantastic Beasts and Where to Find Them,11,2016,180000000,132,Adventure Family Fantasy,PG-13,4144,74403387,234037575
tt0419491,rl1145341441,Believe in Me,3,2007,None,131,Drama Sport,PG,54,81569,209654
tt28002892,rl2929230593,Route 60: The Biblical Highway,9,2023,None,100,Documentary,None,1006,None,1606339
tt6320628,rl3791750657,Spider-Man: Far from Home,7,2019,160000000,129,Action Adventure Comedy Fantasy Sci-Fi,PG-13,4634,92579212,390532085
tt3233418,rl3698361857,Spare Parts,1,2015,None,114,Biography Drama History,PG-13,440,1335768,3618912
tt1264074,rl1098417665,The Wedding Song,10,2009,None,100,Drama History War,None,4,1240,31160
tt0446685,rl1313768961,Drawing Restraint 9,3,2006,None,135,Fantasy,None,5,18011,234743
tt1060277,rl2019919361,Cloverfield,1,2008,25000000,85,Horror Sci-Fi Thriller,PG-13,3411,40058229,80048433
tt0340376,rl2675148289,The Statement,12,2003,27000000,114,Drama Thriller,R,51,37220,765637
tt0265349,rl2825225729,The Mothman Prophecies,1,2002,32000000,119,Drama Horror Mystery Thriller,PG-13,2331,11208851,35746370
tt0422091,rl1213171201,Dhoom,8,2004,None,129,Action Crime Drama Thriller,None,32,102860,245756
tt0303816,rl3293152769,Cabin Fever,9,2003,1500000,93,Horror,R,2105,8400000,21158188
tt0257044,rl1668056577,Road to Perdition,7,2002,80000000,117,Crime Drama Thriller,R,2332,22079481,104454762
tt1129921,rl3830023681,Bustin' Down the Door,7,2008,None,96,Documentary Sport,None,17,17317,109427
tt0333645,rl391087617,The Deserted Station,7,2004,None,88,Drama,None,1,841,18867
tt0454841,rl3008988673,The Hills Have Eyes,3,2006,15000000,107,Horror Thriller,R,2621,15708512,41778863
tt0425598,rl3746006529,Dave Chappelle's Block Party,3,2006,3000000,103,Comedy Documentary Music,R,1200,6516000,11718595
tt1063628,rl2388887041,Ma tante Aline,7,2007,None,100,Comedy,None,65,207145,1025852
tt0218107,rl4132144641,Circuit,4,2002,None,130,Drama Romance,R,7,34751,235087
tt1870529,rl3395257857,Won't Back Down,9,2012,None,121,Drama,PG,2517,2603370,5310554
tt0489049,rl4015031809,Fanboys,2,2009,None,120,Adventure Comedy Crime,PG-13,45,171533,688529
tt2515086,rl2976286209,One Direction: This Is Us,8,2013,10000000,92,Documentary Music,PG,2735,15815497,28873374
tt1699518,rl2684716545,The Young Karl Marx,2,2018,None,118,Biography Drama History,None,15,26097,125659
tt10572668,rl4027287041,Immortal Hero,10,2019,None,118,Drama,PG,12,20629,43007
tt10984580,rl3454632705,Utama,11,2022,None,87,Drama,None,7,4589,52793
tt1650549,rl2483127809,The Hill Chris Climbed: The Gridiron Heroes Story,4,2016,None,71,Biography Documentary Family Sport,None,5,None,23487
tt0838232,rl2372437505,The Pink Panther 2,2,2009,70000000,92,Action Adventure Comedy Crime Mystery,PG,3245,11588150,35922978
tt7499368,rl2835777025,Fragments of Truth,4,2018,None,75,Documentary,None,616,None,219342
tt6889866,rl486835713,The Metropolitan Opera HD Live: Puccini: Tosca,1,2018,None,150,Musical,None,691,1498309,2023749
tt1854564,rl174622209,Percy Jackson: Sea of Monsters,8,2013,90000000,106,Adventure Family Fantasy,PG,3080,14401054,68559554
tt0385307,rl3865216513,Miss Congeniality 2: Armed & Fabulous,3,2005,None,115,Action Comedy Crime,PG-13,3233,14043215,48478006
tt5684466,rl1400800769,A Aa,6,2016,None,152,Comedy Drama Romance,None,115,1213057,2313043
tt4717402,rl4127688193,MFKZ,10,2018,None,94,Action Animation Comedy Sci-Fi Thriller,R,436,6094,229423
tt1234240,rl239240705,Antarctica,8,2008,None,112,Drama Romance,R,2,798,21679
tt5211044,rl4018112001,Revelation: Dawn of Global Government,4,2016,None,106,Documentary,PG,2,14975,19107
tt0227445,rl3698296321,The Score,7,2001,68000000,124,Action Crime Drama Thriller,R,2211,19018807,71107711
tt0034583,rl3175646721,Casablanca,3,2012,950000,102,Drama Romance War,PG,507,None,1155330
tt0382628,rl2068612609,Dark Water,7,2005,None,105,Drama Horror Mystery,PG-13,2657,9939251,25473352
tt4645358,rl2433189377,Who Will Write Our History,1,2019,None,95,Documentary History,None,6,13390,138039
tt2806908,rl425559553,The Jewish Cardinal,1,2014,None,96,Biography,None,7,None,133232
tt3962848,rl4001203713,Welcome to Leith,9,2015,None,85,Documentary,None,5,3707,36010
tt4897822,rl4101801473,Where to Invade Next,2,2016,None,120,Comedy Documentary,R,308,897034,3827261
tt0497972,rl3077473793,Sex and Death 101,4,2008,None,117,Comedy Drama Fantasy Romance,R,6,13516,23624
tt5220122,rl3111945729,Hotel Transylvania 3: Summer Vacation,7,2018,80000000,97,Adventure Animation Comedy Family Fantasy,PG,4267,44076225,167510016
tt0107120,rl1018200833,Hocus Pocus,10,2023,None,96,Comedy Family Fantasy Horror,PG,1430,1609874,4929004
tt0380389,rl1549043201,Goal! The Dream Begins,5,2006,None,118,Drama Romance Sport,PG,1007,1921838,4283255
tt5952594,rl1929807361,The Mustang,3,2019,None,96,Drama,R,527,71657,5043620
tt5503686,rl3255404033,Hustlers,9,2019,20000000,110,Comedy Crime Drama,R,3525,33181361,104963598
tt7743588,rl386237953,Goldbuster,1,2018,None,89,Comedy Fantasy,None,24,79180,186135
tt1885299,rl1885373953,Lucky Them,5,2014,None,97,Comedy Drama,R,9,3728,48995
tt0453494,rl710444545,Hoot,5,2006,15000000,95,Adventure Comedy Family,PG,3018,3400000,8117637
tt0429173,rl3883238913,The Tenants,2,2006,None,97,Crime Drama Romance Thriller,R,1,2010,2010
tt5818818,rl2147649025,The Divine Order,10,2017,None,96,Comedy Drama,None,9,None,76277
tt2181931,rl3998320129,English Vinglish,10,2012,None,134,Comedy Drama Family,None,88,745414,1862086
tt9748230,rl1678345729,Joni 75: A Birthday Celebration,2,2019,None,128,Music,None,405,35111,752205
tt2639254,rl943949313,A Little Chaos,6,2015,None,117,Drama Romance,R,87,181791,558173
tt1244754,rl3796141569,Conviction,10,2010,12500000,107,Biography Crime Drama,R,672,102351,6783129
tt0448694,rl1214940673,Puss in Boots,10,2011,130000000,90,Action Adventure Animation Comedy Family Fantasy,PG,3963,34077439,149260504
tt1305587,rl3830810113,Ghetto Physics,10,2010,None,94,Drama,R,9,10087,14034
tt0425274,rl778339841,Music from the Inside Out,4,2005,None,89,Documentary,None,4,13444,141504
tt5989220,rl4010116609,Claire's Camera,3,2018,None,69,Drama,None,5,11489,83418
tt0479500,rl2741274113,Nancy Drew,6,2007,None,99,Comedy Crime Family Mystery Romance Thriller,PG,2612,6832318,25612520
tt11908172,rl10715905,The Kill Room,9,2023,None,98,Comedy Thriller,R,355,82891,139358
tt0363504,rl155682305,Bigger Than the Sky,2,2005,750000,106,Comedy Drama Romance,PG-13,9,12281,21398
tt1232776,rl3914565121,Fish Tank,1,2010,3000000,123,Drama,None,15,25854,374675
tt16174868,rl3337192193,Left Behind: Rise of the Antichrist,1,2023,None,115,Action Drama Mystery Sci-Fi Thriller,None,1407,2553152,3649422
