movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
Once I Was a Beehive,8,2015,None,119,Comedy Drama Family,PG,32,48409,732655,None,732655,
In the Name of My Daughter,5,2015,None,116,Crime Drama,R,50,14294,277528,2260371,2537899,
Kahlil Gibran's The Prophet,8,2015,None,85,Animation Drama,PG,37,27435,355343,409155,764498,
A Borrowed Identity,6,2015,None,104,Drama,None,22,10308,281540,649418,930958,
Go Away Mr. Tumor,8,2015,None,85,Comedy Romance,None,18,50036,286639,80320254,80606893,
Hamari Adhuri Kahani,6,2015,None,129,Drama Romance,None,67,131263,235361,263413,498774,
Slow West,5,2015,None,84,Action Adventure Drama Romance Thriller Western,R,54,67003,229094,1066480,1295574,
What We Do in the Shadows,2,2015,None,86,Comedy Horror,R,154,88940,3469224,3782002,7251226,
Chocolate City,5,2015,None,91,Drama,R,24,98829,212662,None,212662,
A Pigeon Sat on a Branch Reflecting on Existence,6,2015,None,101,Comedy Drama Fantasy,PG-13,17,25313,222989,1198422,1421411,
Dark Places,8,2015,None,113,Crime Drama Mystery Thriller,R,151,None,208588,4882264,5090852,
Escobar: Paradise Lost,6,2015,None,120,Crime Drama History Romance Thriller,R,105,106869,195792,5356704,5552496,
Gemma Bovery,5,2015,None,99,Comedy Drama Romance,R,29,19095,191533,4452992,4644525,
The Connection,5,2015,None,135,Action Crime Thriller,R,27,10335,190980,11871461,12062441,
Maggie,5,2015,None,95,Drama Horror Sci-Fi,PG-13,79,131175,187112,1206940,1394052,
The Lazarus Effect,2,2015,3300000,83,Horror Mystery Sci-Fi Thriller,PG-13,2,666,10203437,25801570,12555322,38356892,
Seymour: An Introduction,3,2015,None,84,Biography Documentary Music,PG,64,26587,743541,164201,907742,
The Young and Prodigious T.S. Spivet,7,2015,None,105,Adventure Comedy Drama Family,PG,100,33658,173564,9321225,9494789,
The Farewell Party,5,2015,None,95,Comedy Drama Romance,None,14,7616,172860,778671,951531,
Night at the Museum: Secret of the Tomb,12,2014,127000000,98,Adventure Comedy Family Fantasy,PG,3,914,17100520,113746621,249458014,363204635,
Rosenwald,8,2015,None,95,Biography Documentary,None,21,7902,433924,None,433924,
Brotherly Love,4,2015,None,89,Drama,R,200,246902,478595,None,478595,
Samba,7,2015,None,118,Comedy Drama Romance,R,27,24588,151530,39027165,39178695,
Forever Young,7,2015,None,107,Romance,None,14,70047,149761,59832141,59981902,
The Tribe,6,2015,None,126,Crime Drama,None,13,11094,150564,64470,215034,
Cop Car,8,2015,None,88,Crime Thriller,R,60,26146,134552,9106,143658,
Jerusalem,9,2013,None,44,Documentary Short,None,33,None,8020721,1258735,9279456,
Manglehorn,6,2015,None,97,Drama,PG-13,27,11227,143101,316535,459636,
Steve Jobs: The Man in the Machine,9,2015,None,128,Biography Documentary,R,68,140064,494506,None,494506,
Boulevard,7,2015,None,88,Drama,R,11,7000,126150,114300,240450,
Tangerines,4,2015,None,87,Drama War,None,12,5180,144501,879631,1024132,
The Wrecking Crew!,3,2015,None,101,Documentary History Music,PG,65,56858,801606,None,801606,
Lambert & Stamp,4,2015,None,117,Biography Documentary History Music,R,31,13500,183320,None,183320,
The DUFF,2,2015,8500000,101,Comedy Romance,PG-13,2,622,10809149,34030343,9679401,43709744,
Z for Zachariah,8,2015,None,98,Drama Romance Sci-Fi Thriller,PG-13,29,56902,121461,260378,381839,
She's Funny That Way,8,2015,None,93,Comedy Drama,R,26,None,111996,5922855,6034851,
Chronicles of Evil,5,2015,None,102,Crime Drama Mystery Thriller,None,13,None,105057,15355437,15460494,
Results,5,2015,None,105,Comedy Romance,R,21,17782,104507,None,104507,
Every Secret Thing,5,2015,None,93,Crime Drama Mystery Thriller,R,20,97020,103536,21197,124733,
Digging for Fire,8,2015,None,85,Comedy Drama,R,30,25000,119364,None,119364,
A Lego Brickumentary,7,2015,None,93,Documentary,G,93,43285,101531,None,101531,
The Look of Silence,7,2015,None,103,Biography Documentary History,PG-13,14,6616,109089,48768,157857,
A Poem Is a Naked Person,7,2015,None,90,Documentary Music,None,5,5526,96592,None,96592,
Memories of the Sword,8,2015,None,120,Action Drama History Romance,None,22,50240,111071,2233991,2345062,
Big Hero 6,11,2014,165000000,102,Action Adventure Animation Comedy Crime Family Mystery Sci-Fi,PG,3,773,56215889,222527828,435300000,657827828,
