movie_name,month,year,sequel
10 Cloverfield Lane,3,2016,0
10000 BC,3,2008,0
102 Dalmatians,11,2000,0
12 Rounds,3,2009,0
12 Strong,1,2018,0
12 Years a Slave,10,2013,0
127 Hours,11,2010,0
13 Going on 30,4,2004,0
13 Hours: The Secret Soldiers of Benghazi,1,2016,0
1408,6,2007,0
15 Minutes,3,2001,0
16 Blocks,3,2006,0
17 Again,4,2009,0
2 Fast 2 Furious,6,2003,0
2 Guns,8,2013,0
2012,11,2009,0
20th Century Women,12,2016,0
21,3,2008,0
21 & Over,3,2013,0
21 Bridges,11,2019,0
21 Grams,11,2003,0
21 Jump Street,3,2012,0
22 Jump Street,6,2014,0
25th Hour,12,2002,0
27 Dresses,1,2008,0
28 Days,4,2000,0
28 Weeks Later,5,2007,0
3 Days to Kill,2,2014,0
3 Strikes,3,2000,0
30 Days of Night,10,2007,0
30 Minutes or Less,8,2011,0
3000 Miles to Graceland,2,2001,0
300: Rise of an Empire,3,2014,0
3:10 to Yuma,9,2007,0
40 Days and 40 Nights,3,2002,0
42,4,2013,0
47 Meters Down,6,2017,0
47 Meters Down: Uncaged,8,2019,1
47 Ronin,12,2013,0
50 First Dates,2,2004,0
50/50,9,2011,0
500 Days of Summer,7,2009,0
65,3,2023,0
8 Mile,11,2002,0
80 for Brady,2,2023,0
88 Minutes,4,2008,0
9,9,2009,0
90 Minutes in Heaven,9,2015,0
A Bad Moms Christmas,11,2017,0
A Beautiful Day in the Neighborhood,12,2019,0
A Beautiful Mind,12,2001,0
A Better Life,6,2011,0
A Christmas Carol,11,2009,0
A Cinderella Story,7,2004,0
A Cure for Wellness,2,2017,0
A Dangerous Method,11,2011,0
A Dog's Journey,5,2019,1
A Dog's Purpose,1,2017,0
A Dog's Way Home,1,2019,0
A Ghost Story,7,2017,0
A Good Day to Die Hard,2,2013,0
A Good Year,11,2006,0
A Guy Thing,1,2003,0
A Haunted House,1,2013,0
A Haunted House 2,4,2014,0
A History of Violence,9,2005,0
A Hologram for the King,4,2016,0
A Home at the End of the World,7,2004,0
A Knight's Tale,5,2001,0
A Lot Like Love,4,2005,0
A Madea Family Funeral,3,2019,1
A Man Apart,4,2003,0
A Mighty Heart,6,2007,0
A Mighty Wind,4,2003,0
A Million Ways to Die in the West,5,2014,0
A Monster Calls,12,2016,0
A Most Violent Year,12,2014,0
A Most Wanted Man,7,2014,0
A Nightmare on Elm Street,4,2010,0
A Perfect Getaway,8,2009,0
A Prairie Home Companion,6,2006,0
A Quiet Place,4,2018,0
A Scanner Darkly,7,2006,0
A Series of Unfortunate Events,12,2004,0
A Serious Man,10,2009,0
A Simple Favor,9,2018,0
A Single Man,12,2009,0
A Sound of Thunder,9,2005,0
